date,cash,market_value,equity,positions
2024-01-12,636284.78,283386.0,919670.78,2
2024-01-15,636284.78,285400.0,921684.78,2
2024-01-16,544154.83,380794.0,924948.83,3
2024-01-17,498152.87,421589.0,919741.87,3
2024-01-18,496703.86,422913.0,919616.86,3
2024-01-19,496703.86,422424.0,919127.86,3
2024-01-22,496703.86,417031.0,913734.86,3
2024-01-23,630493.1,285100.0,915593.1,2
2024-01-24,630493.1,290845.0,921338.1,2
2024-01-25,538489.18,389977.0,928466.18,3
2024-01-26,538489.18,400481.0,938970.18,3
2024-01-29,411296.11,530689.0,941985.11,4
2024-01-30,409627.09,529090.0,938717.09,4
2024-01-31,363235.03,575548.0,938783.03,4
2024-02-01,363235.03,570565.0,933800.03,4
2024-02-02,360800.01,570706.0,931506.01,4
2024-02-05,359989.0,583264.0,943253.0,4
2024-02-06,356912.97,586921.0,943833.97,4
2024-02-07,262677.87,687433.0,950110.87,5
2024-02-08,217389.1,732539.0,949928.1,5
2024-02-19,217389.1,743714.0,961103.1,5
2024-02-20,123534.7,842412.0,965946.7,6
2024-02-21,74680.62,904860.0,979540.62,6
2024-02-22,2343.82,986623.0,988966.82,7
2024-02-23,2279.01,983126.0,985405.01,8
2024-02-26,473.99,967353.0,967826.99,8
2024-02-27,473.99,971646.0,972119.99,8
2024-02-28,69.99,968601.0,968670.99,9
2024-02-29,69.99,972222.0,972291.99,9
2024-03-01,69.99,974155.0,974224.99,9
2024-03-04,69.99,972477.0,972546.99,9
2024-03-05,118.79,983688.0,983806.79,9
2024-03-06,12129.27,967641.0,979770.27,10
2024-03-07,409.16,983725.0,984134.16,10
2024-03-08,5113.31,974443.0,979556.31,10
2024-03-11,618.88,985598.0,986216.88,10
2024-03-12,204.88,986253.0,986457.88,10
2024-03-13,204.88,973019.0,973223.88,10
2024-03-14,204.88,966381.0,966585.88,10
2024-03-15,204.88,972557.0,972761.88,10
2024-03-18,204.88,974012.0,974216.88,10
2024-03-19,204.88,965318.0,965522.88,10
2024-03-20,204.88,966001.0,966205.88,10
2024-03-21,2256.02,965255.0,967511.02,10
2024-03-22,429.0,955561.0,955990.0,10
2024-03-25,7748.65,947914.0,955662.65,9
2024-03-26,632.49,964581.0,965213.49,8
2024-03-27,632.49,960008.0,960640.49,8
2024-03-28,632.49,964650.0,965282.49,8
2024-03-29,223.49,976195.0,976418.49,8
2024-04-01,223.49,991696.0,991919.49,8
2024-04-02,223.49,990177.0,990400.49,8
2024-04-03,223.49,987816.0,988039.49,8
2024-04-08,4785.52,980784.0,985569.52,8
2024-04-09,2260.49,980136.0,982396.49,9
2024-04-10,2260.49,975429.0,977689.49,9
2024-04-11,986.48,971981.0,972967.48,9
2024-04-12,986.48,962842.0,963828.48,9
2024-04-15,986.48,989940.0,990926.48,9
2024-04-16,1193.66,988097.0,989290.66,9
2024-04-17,2480.94,995370.0,997850.94,9
2024-04-18,596.6,997132.0,997728.6,9
2024-04-19,17768.3,970977.0,988745.3,9
2024-04-22,2411.15,981279.0,983690.15,9
2024-04-23,298.13,979865.0,980163.13,9
2024-04-24,298.13,983265.0,983563.13,9
2024-04-25,298.13,993090.0,993388.13,9
2024-04-26,298.13,1003199.0,1003497.13,9
2024-04-29,298.13,1012784.0,1013082.13,9
2024-04-30,298.13,1009493.0,1009791.13,9
2024-05-06,298.13,1027756.0,1028054.13,9
2024-05-07,298.13,1025699.0,1025997.13,9
2024-05-08,298.13,1017137.0,1017435.13,9
2024-05-09,298.13,1024420.0,1024718.13,9
2024-05-10,298.13,1026872.0,1027170.13,9
2024-05-13,298.13,1025145.0,1025443.13,9
2024-05-14,298.13,1017926.0,1018224.13,9
2024-05-15,298.13,1008592.0,1008890.13,9
2024-05-16,298.13,1018978.0,1019276.13,9
2024-05-17,298.13,1031815.0,1032113.13,9
2024-05-20,753.68,1027932.0,1028685.68,9
2024-05-21,753.68,1027678.0,1028431.68,9
2024-05-22,311.68,1025092.0,1025403.68,9
2024-05-23,1636.55,1013838.0,1015474.55,9
2024-05-24,1636.55,1001839.0,1003475.55,9
2024-05-27,1636.55,1009359.0,1010995.55,9
2024-05-28,606.54,998359.0,998965.54,9
2024-05-29,2327.83,999945.0,1002272.83,9
2024-05-30,250.81,996511.0,996761.81,9
2024-05-31,250.81,993088.0,993338.81,9
2024-06-03,250.81,1003069.0,1003319.81,9
2024-06-04,2794.49,1005532.0,1008326.49,8
2024-06-05,336.47,1003458.0,1003794.47,8
2024-06-06,336.47,1004343.0,1004679.47,8
2024-06-07,336.47,998107.0,998443.47,8
2024-06-11,113650.29,878369.0,992019.29,7
2024-06-12,236951.51,756550.0,993501.51,6
2024-06-13,236951.51,759207.0,996158.51,6
2024-06-14,298689.55,685969.0,984658.55,5
2024-06-17,438377.3,545372.0,983749.3,4
2024-06-18,438377.3,545752.0,984129.3,4
2024-06-19,542729.93,441128.0,983857.93,3
2024-06-20,542729.93,441762.0,984491.93,3
2024-06-21,542729.93,445209.0,987938.93,3
2024-06-24,523900.74,459255.0,983155.74,3
2024-06-25,567154.46,417481.0,984635.46,3
2024-06-26,567154.46,416035.0,983189.46,3
2024-06-27,567154.46,415666.0,982820.46,3
2024-06-28,567154.46,416510.0,983664.46,3
2024-07-01,567154.46,418220.0,985374.46,3
2024-07-02,567154.46,418538.0,985692.46,3
2024-07-03,470115.24,512439.0,982554.24,4
2024-07-04,373890.23,609681.0,983571.23,5
2024-07-05,326077.8,652666.0,978743.8,5
2024-07-08,514784.26,471722.0,986506.26,3
2024-07-09,514784.26,478589.0,993373.26,3
2024-07-10,514784.26,476150.0,990934.26,3
2024-07-11,418827.32,574167.0,992994.32,4
2024-07-12,514483.57,482424.0,996907.57,3
2024-07-15,317124.27,685101.0,1002225.27,5
2024-07-16,269087.78,731184.0,1000271.78,5
2024-07-17,452997.9,544013.0,997010.9,4
2024-07-18,546631.63,451949.0,998580.63,4
2024-07-19,567965.4,431389.0,999354.4,4
2024-07-22,598194.46,398075.0,996269.46,4
2024-07-23,573578.66,418814.0,992392.66,4
2024-07-24,424516.92,565599.0,990115.92,5
2024-07-25,375520.18,614548.0,990068.18,5
2024-07-26,375520.18,611852.0,987372.18,5
2024-07-29,444632.81,538813.0,983445.81,4
2024-07-30,444632.81,537288.0,981920.81,4
2024-07-31,444632.81,544025.0,988657.81,4
2024-08-01,444632.81,538757.0,983389.81,4
2024-08-02,444632.81,530422.0,975054.81,4
2024-08-05,444632.81,526648.0,971280.81,4
2024-08-06,679574.11,290466.0,970040.11,2
2024-08-07,679574.11,290766.0,970340.11,2
2024-08-08,582695.93,389624.0,972319.93,3
2024-08-09,535713.72,433362.0,969075.72,3
2024-08-12,535713.72,435592.0,971305.72,3
2024-08-13,535713.72,434194.0,969907.72,3
2024-08-14,535713.72,433370.0,969083.72,3
2024-08-15,535713.72,438338.0,974051.72,3
2024-08-16,535713.72,437764.0,973477.72,3
2024-08-19,535713.72,434390.0,970103.72,3
2024-08-20,535713.72,433624.0,969337.72,3
2024-08-21,535713.72,434230.0,969943.72,3
2024-08-22,535713.72,440608.0,976321.72,3
2024-08-23,535713.72,440856.0,976569.72,3
2024-08-26,535713.72,434412.0,970125.72,3
2024-08-27,535713.72,435268.0,970981.72,3
2024-08-28,535713.72,434790.0,970503.72,3
2024-08-29,679904.05,291616.0,971520.05,2
2024-08-30,820197.35,150042.0,970239.35,1
2024-09-02,724222.4,243860.0,968082.4,2
2024-09-03,628255.45,342234.0,970489.45,3
2024-09-04,533063.69,435446.0,968509.69,3
2024-09-05,528795.65,443953.0,972748.65,3
2024-09-06,431421.83,537396.0,968817.83,4
2024-09-09,431421.83,532465.0,963886.83,4
2024-09-10,522072.88,439764.0,961836.88,3
2024-09-11,522072.88,443430.0,965502.88,3
2024-09-12,446853.33,516966.0,963819.33,4
2024-09-13,409067.51,551936.0,961003.51,4
2024-09-18,332541.61,635301.0,967842.61,5
2024-09-19,213159.58,761890.0,975049.58,6
2024-09-20,142166.13,826670.0,968836.13,6
2024-09-23,142166.13,828516.0,970682.13,6
2024-09-24,45541.01,957871.0,1003412.01,7
2024-09-25,2579.84,1019341.0,1021920.84,7
2024-09-26,2579.84,1062974.0,1065553.84,7
2024-09-27,2579.84,1125681.0,1128260.84,7
2024-09-30,237654.41,980370.0,1218024.41,7
2024-10-08,753156.34,559784.0,1312940.34,7
2024-10-09,712165.86,555041.0,1267206.86,9
2024-10-10,626144.85,650651.0,1276795.85,9
2024-10-11,473322.17,777408.0,1250730.17,10
2024-10-14,291955.46,973777.0,1265732.46,10
2024-10-15,188742.55,1050656.0,1239398.55,10
2024-10-16,99659.39,1124692.0,1224351.39,10
2024-10-17,4932.76,1205325.0,1210257.76,10
2024-10-18,147.71,1248306.0,1248453.71,10
2024-10-21,147.71,1252307.0,1252454.71,10
2024-10-22,147.71,1259719.0,1259866.71,10
2024-10-23,147.71,1269230.0,1269377.71,10
2024-10-24,147.71,1245962.0,1246109.71,10
2024-10-25,147.71,1262422.0,1262569.71,10
2024-10-28,147.71,1265910.0,1266057.71,10
2024-10-29,147.71,1253377.0,1253524.71,10
2024-10-30,147.71,1247456.0,1247603.71,10
2024-10-31,147.71,1239565.0,1239712.71,10
2024-11-01,147.71,1234894.0,1235041.71,10
2024-11-04,147.71,1254496.0,1254643.71,10
2024-11-05,147.71,1279378.0,1279525.71,10
2024-11-06,147.71,1264326.0,1264473.71,10
2024-11-07,147.71,1300419.0,1300566.71,10
2024-11-08,147.71,1281929.0,1282076.71,10
2024-11-11,147.71,1285386.0,1285533.71,10
2024-11-12,5613.05,1277819.0,1283432.05,10
2024-11-13,7279.07,1283796.0,1291075.07,10
2024-11-14,2010.98,1268728.0,1270738.98,10
2024-11-15,2010.98,1250245.0,1252255.98,10
2024-11-18,2010.98,1245203.0,1247213.98,10
2024-11-19,2010.98,1246472.0,1248482.98,10
2024-11-20,2010.98,1260164.0,1262174.98,10
2024-11-21,843.97,1254834.0,1255677.97,10
2024-11-22,843.97,1217381.0,1218224.97,10
2024-11-25,168139.77,1045896.0,1214035.77,9
2024-11-26,115812.17,1099704.0,1215516.17,9
2024-11-27,115812.17,1120454.0,1236266.17,9
2024-11-28,115812.17,1109077.0,1224889.17,9
2024-11-29,115812.17,1123726.0,1239538.17,9
2024-12-02,115812.17,1126943.0,1242755.17,9
2024-12-03,115812.17,1127767.0,1243579.17,9
2024-12-04,115812.17,1118698.0,1234510.17,9
2024-12-05,8384.25,1220143.0,1228527.25,10
2024-12-06,1201.18,1252328.0,1253529.18,10
2024-12-09,1201.18,1254998.0,1256199.18,10
2024-12-10,1201.18,1261435.0,1262636.18,10
2024-12-11,2286.1,1258356.0,1260642.1,10
2024-12-12,2286.1,1270356.0,1272642.1,10
2024-12-13,2286.1,1246424.0,1248710.1,10
2024-12-16,967.6,1230417.0,1231384.6,9
2024-12-17,2241.49,1233598.0,1235839.49,9
2024-12-18,2241.49,1240223.0,1242464.49,9
2024-12-19,2241.49,1237818.0,1240059.49,9
2024-12-20,2627.75,1229339.0,1231966.75,9
2024-12-23,108.72,1239624.0,1239732.72,9
2024-12-24,108.72,1256297.0,1256405.72,9
2024-12-25,108.72,1254175.0,1254283.72,9
2024-12-26,108.72,1247740.0,1247848.72,9
2024-12-27,108.72,1242670.0,1242778.72,9
2024-12-30,15027.86,1238974.0,1254001.86,8
2024-12-31,443.71,1241247.0,1241690.71,8
2025-01-02,27518.09,1190774.0,1218292.09,7
2025-01-03,79234.75,1135303.0,1214537.75,7
2025-01-06,79234.75,1141886.0,1221120.75,7
2025-01-07,79234.75,1137799.0,1217033.75,7
2025-01-08,485401.83,741748.0,1227149.83,4
2025-01-09,485401.83,737085.0,1222486.83,4
2025-01-10,485401.83,730375.0,1215776.83,4
2025-01-13,485401.83,727948.0,1213349.83,4
2025-01-14,485401.83,733195.0,1218596.83,4
2025-01-15,485401.83,733904.0,1219305.83,4
2025-01-16,485401.83,739361.0,1224762.83,4
2025-01-17,485401.83,736204.0,1221605.83,4
2025-01-20,485401.83,729067.0,1214468.83,4
2025-01-21,367708.23,843215.0,1210923.23,5
2025-01-22,312413.86,881713.0,1194126.86,5
2025-01-23,484091.29,711513.0,1195604.29,4
2025-01-24,484091.29,714816.0,1198907.29,4
2025-01-27,478499.23,727589.0,1206088.23,4
2025-02-05,478499.23,719077.0,1197576.23,4
2025-02-06,478499.23,726249.0,1204748.23,4
2025-02-07,478499.23,728559.0,1207058.23,4
2025-02-10,478499.23,729397.0,1207896.23,4
2025-02-11,654621.28,552408.0,1207029.28,3
2025-02-12,435897.44,781367.0,1217264.44,5
2025-02-13,401768.57,812397.0,1214165.57,5
2025-02-14,306976.93,927741.0,1234717.93,5
2025-02-17,306053.92,932665.0,1238718.92,5
2025-02-18,306053.92,934161.0,1240214.92,5
2025-02-19,481227.58,761056.0,1242283.58,4
2025-02-20,479426.56,770337.0,1249763.56,4
2025-02-21,478523.55,793856.0,1272379.55,4
2025-02-24,474900.42,784425.0,1259325.42,5
2025-02-25,359674.47,894322.0,1253996.47,5
2025-02-26,334467.92,923628.0,1258095.92,5
2025-02-27,334467.92,920246.0,1254713.92,5
