date,code,action,price,shares,amount,fee
2025-03-06,000001,BUY,11.69,10400,121576.0,31.61
2025-03-07,000001,BUY,11.63,5300,61639.0,16.03
2025-03-10,300750,EXIT,261.8,600,157080.0,119.38
2025-03-10,000001,BUY,11.66,200,2332.0,5.02
2025-03-17,000725,EXIT,4.42,41800,184756.0,140.42
2025-03-17,601318,BUY,53.47,2300,122981.0,31.98
2025-03-17,600276,BUY,47.32,2600,123032.0,31.99
2025-03-18,000001,EXIT,11.52,15900,183168.0,139.2
2025-03-19,600276,BUY,46.52,1300,60476.0,15.72
2025-03-19,601318,BUY,53.68,1100,59048.0,15.35
2025-03-20,600036,TAKE_PROFIT,45.92,2300,105616.0,80.27
2025-03-20,603259,TAKE_PROFIT,70.01,1500,105015.0,79.81
2025-03-20,600276,BUY,47.2,200,9440.0,5.09
2025-03-20,601318,BUY,54.05,100,5405.0,5.05
2025-03-21,603259,TAKE_PROFIT,69.16,700,48412.0,36.79
2025-03-21,002594,TAKE_PROFIT,393.01,200,78602.0,59.74
2025-03-21,600036,BUY,45.12,1400,63168.0,16.42
2025-03-21,601318,BUY,52.4,100,5240.0,5.05
2025-03-21,000858,BUY,135.7,900,122130.0,31.75
2025-03-24,600276,EXIT,44.86,4100,183926.0,139.78
2025-03-24,600036,BUY,44.55,400,17820.0,5.18
2025-03-24,002594,BUY,377.0,100,37700.0,9.81
2025-03-24,603259,BUY,67.02,900,60318.0,15.68
2025-03-24,000858,BUY,134.06,400,53624.0,13.95
2025-03-24,600585,BUY,24.87,5000,124350.0,32.33
2025-03-25,603259,BUY,67.33,900,60597.0,15.76
2025-03-25,600585,BUY,24.6,2500,61500.0,16.0
2025-03-25,002594,BUY,377.98,100,37798.0,9.83
2025-03-25,000858,BUY,134.6,100,13460.0,5.13
2025-03-26,603259,BUY,66.59,200,13318.0,5.13
2025-03-26,600585,BUY,24.37,200,4874.0,5.05
2025-03-28,600276,BUY,48.39,2600,125814.0,32.71
2025-03-31,600276,BUY,48.98,100,4898.0,5.05
2025-04-01,000858,EXIT,131.43,1400,184002.0,139.84
2025-04-01,600276,BUY,49.2,1100,54120.0,14.07
2025-04-01,000333,BUY,78.1,1500,117150.0,30.46
2025-04-08,600036,EXIT,40.78,4200,171276.0,130.17
2025-04-08,603259,STOP_LOSS,58.08,2800,162624.0,123.6
2025-04-08,002594,STOP_LOSS,321.76,500,160880.0,122.27
2025-04-08,601318,STOP_LOSS,48.55,3600,174780.0,132.84
2025-04-08,000333,STOP_LOSS,68.0,1500,102000.0,77.52
2025-04-15,600900,BUY,29.08,4000,116320.0,30.24
2025-04-16,600900,BUY,29.25,1900,55575.0,14.45
2025-04-24,600900,BUY,29.2,100,2920.0,5.03
2025-04-24,002594,BUY,372.48,300,111744.0,29.06
2025-04-25,002594,BUY,370.0,100,37000.0,9.62
2025-04-30,002594,EXIT,354.9,400,141960.0,107.89
2025-05-09,600036,BUY,42.8,2700,115560.0,30.05
2025-05-12,002594,BUY,365.0,300,109500.0,28.48
2025-05-13,600585,EXIT,23.84,7700,183568.0,139.51
2025-05-13,002594,BUY,376.0,100,37600.0,9.78
2025-05-13,600036,BUY,44.09,1200,52908.0,13.76
2025-05-13,601857,BUY,8.16,14200,115872.0,30.13
2025-05-14,601857,BUY,8.22,7000,57540.0,14.97
2025-05-14,000333,BUY,76.9,1500,115350.0,29.99
2025-05-15,000333,BUY,76.66,700,53662.0,13.96
2025-05-16,000333,BUY,76.21,100,7621.0,5.08
2025-05-16,601857,BUY,8.25,200,1650.0,5.02
2025-05-16,601318,BUY,54.05,2100,113505.0,29.52
2025-05-19,601857,BUY,8.15,300,2445.0,5.02
2025-05-21,601857,BUY,8.23,100,823.0,5.01
2025-05-26,601857,BUY,8.19,100,819.0,5.01
2025-05-29,002594,EXIT,359.59,400,143836.0,109.32
2025-05-29,601318,BUY,53.3,1100,58630.0,15.25
2025-05-29,600036,BUY,43.7,100,4370.0,5.04
2025-05-29,603259,BUY,61.85,1300,80405.0,20.9
2025-05-30,000001,BUY,11.47,100,1147.0,5.01
2025-06-13,000333,EXIT,71.6,2300,164680.0,125.16
2025-06-13,603259,BUY,67.71,800,54168.0,14.08
2025-06-13,000001,BUY,11.68,5100,59568.0,15.49
2025-06-16,603259,BUY,67.85,500,33925.0,8.82
2025-06-17,601318,BUY,54.3,100,5430.0,5.05
2025-06-17,000001,BUY,11.79,1000,11790.0,5.12
2025-06-30,600276,REDUCE,51.91,1900,98629.0,74.96
2025-06-30,000001,BUY,12.14,4800,58272.0,15.15
2025-06-30,600030,BUY,27.61,1400,38654.0,10.05
2025-06-30,000725,BUY,3.98,400,1592.0,5.02
2025-07-01,600276,EXIT,51.89,1900,98591.0,74.94
2025-07-01,000001,BUY,12.06,3700,44622.0,11.61
2025-07-01,600030,BUY,27.63,1900,52497.0,13.64
2025-07-01,000725,BUY,4.0,400,1600.0,5.02
2025-07-14,603259,TAKE_PROFIT,77.5,1300,100750.0,76.58
2025-07-14,000725,BUY,4.05,15200,61560.0,16.01
2025-07-14,600030,BUY,28.77,1300,37401.0,9.72
2025-07-15,603259,TAKE_PROFIT,78.94,600,47364.0,35.99
2025-07-15,600030,BUY,28.45,1600,45520.0,11.84
2025-07-15,000725,BUY,4.04,800,3232.0,5.03
2025-07-16,603259,TAKE_PROFIT,79.66,300,23898.0,18.16
2025-07-16,600030,BUY,28.24,300,8472.0,5.08
2025-07-16,600276,BUY,57.65,200,11530.0,5.12
2025-07-17,603259,TAKE_PROFIT,78.91,200,15782.0,13.05
2025-07-17,600276,BUY,56.9,300,17070.0,5.17
2025-07-18,603259,TAKE_PROFIT,81.21,100,8121.0,9.14
2025-07-18,600276,BUY,58.21,100,5821.0,5.06
2025-07-18,000725,BUY,4.04,1200,4848.0,5.05
2025-07-24,600900,EXIT,29.19,6000,175140.0,133.11
