date,code,action,price,shares,amount,fee
2026-05-12,600030,BUY,27.35,2200,60170.0,15.64
2026-05-15,002594,EXIT,98.0,1800,176400.0,134.06
2026-05-18,000001,EXIT,10.96,16900,185224.0,140.77
2026-05-19,000725,BUY,4.2,28800,120960.0,31.45
2026-05-20,000725,BUY,4.29,13400,57486.0,14.94
2026-05-25,000725,TAKE_PROFIT,5.17,21100,109087.0,82.9
2026-05-26,300750,EXIT,406.19,200,81238.0,61.74
2026-05-26,000725,TAKE_PROFIT,5.22,10500,54810.0,41.66
2026-05-27,000725,TAKE_PROFIT,5.8,5300,30740.0,23.37
2026-05-28,000725,TAKE_PROFIT,5.72,2600,14872.0,12.59
2026-05-29,600030,EXIT,25.53,6800,173604.0,131.94
2026-05-29,000725,TAKE_PROFIT,5.63,1300,7319.0,8.73
2026-06-01,000725,BUY,5.12,12200,62464.0,16.24
2026-06-02,603259,EXIT,99.98,1800,179964.0,136.77
2026-06-02,000725,BUY,5.31,11700,62127.0,16.15
2026-06-03,000725,BUY,5.58,9000,50220.0,13.05
2026-06-03,300750,BUY,437.0,200,87400.0,22.72
2026-06-05,300750,EXIT,407.89,200,81578.0,62.0
2026-06-08,000725,TAKE_PROFIT,6.48,17100,110808.0,84.21
2026-06-08,600900,BUY,27.5,100,2750.0,5.03
2026-06-09,000725,TAKE_PROFIT,6.49,8600,55814.0,42.42
2026-06-10,000725,TAKE_PROFIT,6.34,4300,27262.0,20.72
2026-06-11,000725,BUY,6.0,10700,64200.0,16.69
2026-06-12,000725,BUY,5.95,10800,64260.0,16.71
