date,cash,market_value,equity,positions
2024-03-22,463.65,1011581.0,1012044.65,5
2024-03-25,463.65,1016500.0,1016963.65,5
2024-03-26,463.65,1028333.0,1028796.65,5
2024-03-27,463.65,1025771.0,1026234.65,5
2024-03-28,463.65,1025686.0,1026149.65,5
2024-03-29,463.65,1035925.0,1036388.65,5
2024-04-01,463.65,1039907.0,1040370.65,5
2024-04-02,463.65,1038919.0,1039382.65,5
2024-04-03,463.65,1034685.0,1035148.65,5
2024-04-08,70959.12,958011.0,1028970.12,5
2024-04-09,2087.74,1026220.0,1028307.74,5
2024-04-10,70.72,1023565.0,1023635.72,5
2024-04-11,5493.19,1015053.0,1020546.19,5
2024-04-12,393.14,1007806.0,1008199.14,5
2024-04-15,393.14,1038536.0,1038929.14,5
2024-04-16,6418.58,1035973.0,1042391.58,5
2024-04-17,6055.22,1048500.0,1054555.22,5
2024-04-18,795.5,1064890.0,1065685.5,5
2024-04-19,782.95,1055409.0,1056191.95,5
2024-04-22,788.39,1047807.0,1048595.39,5
2024-04-23,788.39,1043407.0,1044195.39,5
2024-04-24,788.39,1042013.0,1042801.39,5
2024-04-25,788.39,1059012.0,1059800.39,5
2024-04-26,788.39,1067338.0,1068126.39,5
2024-04-29,788.39,1091230.0,1092018.39,5
2024-04-30,788.39,1080185.0,1080973.39,5
2024-05-06,788.39,1097833.0,1098621.39,5
2024-05-07,788.39,1097640.0,1098428.39,5
2024-05-08,788.39,1085031.0,1085819.39,5
2024-05-09,788.39,1100269.0,1101057.39,5
2024-05-10,788.39,1103872.0,1104660.39,5
2024-05-13,788.39,1104044.0,1104832.39,5
2024-05-14,788.39,1091049.0,1091837.39,5
2024-05-15,788.39,1081549.0,1082337.39,5
2024-05-16,788.39,1102387.0,1103175.39,5
2024-05-17,788.39,1114838.0,1115626.39,5
2024-05-20,788.39,1105653.0,1106441.39,5
2024-05-21,788.39,1105641.0,1106429.39,5
2024-05-22,788.39,1105385.0,1106173.39,5
2024-05-23,6452.8,1088075.0,1094527.8,5
2024-05-24,5310.79,1072487.0,1077797.79,5
2024-05-27,5310.79,1080820.0,1086130.79,5
2024-05-28,180.74,1075420.0,1075600.74,5
2024-05-29,180.74,1070044.0,1070224.74,5
2024-05-30,180.74,1062756.0,1062936.74,5
2024-05-31,180.74,1059576.0,1059756.74,5
2024-06-03,180.74,1061748.0,1061928.74,5
2024-06-04,2023.9,1070420.0,1072443.9,4
2024-06-05,2023.9,1055836.0,1057859.9,4
2024-06-06,2023.9,1059892.0,1061915.9,4
2024-06-07,2023.9,1043844.0,1045867.9,4
2024-06-11,3131.82,1032080.0,1035211.82,5
2024-06-12,125257.09,912512.0,1037769.09,4
2024-06-13,31545.73,1018630.0,1050175.73,4
2024-06-14,31545.73,991390.0,1022935.73,4
2024-06-17,323068.0,701433.0,1024501.0,3
2024-06-18,320273.97,702360.0,1022633.97,3
2024-06-19,409997.72,613240.0,1023237.72,2
2024-06-20,409997.72,613540.0,1023537.72,2
2024-06-21,409997.72,612434.0,1022431.72,2
2024-06-24,207587.11,816722.0,1024309.11,3
2024-06-25,201880.78,825762.0,1027642.78,3
2024-06-26,201880.78,822774.0,1024654.78,3
2024-06-27,201880.78,821980.0,1023860.78,3
2024-06-28,201880.78,823560.0,1025440.78,3
2024-07-01,201880.78,826600.0,1028480.78,3
2024-07-02,201880.78,827524.0,1029404.78,3
2024-07-03,7802.33,1015222.0,1023024.33,4
2024-07-04,582.26,1025396.0,1025978.26,5
2024-07-05,582.26,1012639.0,1013221.26,5
2024-07-08,290488.66,734258.0,1024746.66,3
2024-07-09,290488.66,747680.0,1038168.66,3
2024-07-10,186721.68,847337.0,1034058.68,3
2024-07-11,4734.38,1032472.0,1037206.38,4
2024-07-12,91620.81,953324.0,1044944.81,3
