date,code,action,price,shares,amount,fee
2024-03-21,000858,BUY,156.9,300,47070.0,12.24
2024-03-21,300750,BUY,189.51,200,37902.0,9.86
2024-03-22,601857,BUY,9.11,300,2733.0,5.03
2024-03-25,601318,EXIT,40.45,3400,137530.0,104.53
2024-03-25,300750,BUY,185.57,200,37114.0,9.65
2024-03-25,000858,BUY,152.51,300,45753.0,11.9
2024-03-25,601857,BUY,9.04,5200,47008.0,12.22
2024-03-25,600276,BUY,45.95,100,4595.0,5.05
2024-03-26,601857,BUY,9.29,300,2787.0,5.03
2024-03-27,601857,BUY,9.14,100,914.0,5.01
2024-04-08,600900,EXIT,24.41,6200,151342.0,115.02
2024-04-08,300750,BUY,197.65,200,39530.0,10.28
2024-04-08,000333,BUY,66.72,700,46704.0,12.15
2024-04-08,601857,BUY,10.05,100,1005.0,5.01
2024-04-08,002594,BUY,207.0,300,62100.0,16.15
2024-04-16,601857,TAKE_PROFIT,10.6,7300,77380.0,58.8
2024-04-16,000333,BUY,66.78,700,46746.0,12.16
2024-04-16,002594,BUY,212.4,100,21240.0,5.52
2024-04-16,600900,BUY,25.81,400,10324.0,5.1
2024-04-17,601857,TAKE_PROFIT,10.75,3700,39775.0,30.23
2024-04-17,000333,BUY,68.0,400,27200.0,7.07
2024-04-17,600900,BUY,25.85,500,12925.0,5.13
2024-04-18,601857,TAKE_PROFIT,10.72,1800,19296.0,14.84
2024-04-18,000333,BUY,68.58,100,6858.0,5.07
2024-04-18,600900,BUY,25.92,400,10368.0,5.1
2024-04-19,601857,TAKE_PROFIT,10.69,900,9621.0,9.91
2024-04-19,600276,EXIT,42.0,100,4200.0,7.14
2024-04-19,600900,BUY,25.9,600,15540.0,5.16
2024-04-22,601857,TAKE_PROFIT,10.8,500,5400.0,7.75
2024-04-22,600900,BUY,25.93,200,5186.0,5.05
2024-05-20,600036,TAKE_PROFIT,36.85,2300,84755.0,64.42
2024-05-20,000858,BUY,156.4,100,15640.0,5.16
2024-05-20,002594,BUY,218.48,200,43696.0,11.36
2024-05-20,600900,BUY,25.74,1000,25740.0,6.7
2024-05-23,000333,EXIT,65.4,2200,143880.0,109.35
2024-05-23,600036,BUY,35.9,1400,50260.0,13.06
2024-05-23,600900,BUY,26.05,2000,52100.0,13.55
2024-05-23,601318,BUY,44.92,900,40428.0,10.51
2024-05-28,601857,BUY,10.25,100,1025.0,5.01
2024-05-29,000725,EXIT,4.1,36700,150470.0,114.35
2024-05-29,601857,BUY,10.46,4800,50208.0,13.05
2024-05-29,600585,BUY,24.55,4000,98200.0,25.53
2024-05-30,601857,BUY,10.36,200,2072.0,5.02
2024-06-04,000858,EXIT,145.98,1000,145980.0,110.94
2024-06-04,601857,BUY,9.96,5100,50796.0,13.21
2024-06-04,600900,BUY,27.43,500,13715.0,5.14
2024-06-04,600585,BUY,24.25,2100,50925.0,13.24
2024-06-05,600585,BUY,24.53,100,2453.0,5.02
2024-06-11,300750,EXIT,189.0,600,113400.0,86.18
2024-06-12,600036,EXIT,33.35,3700,123395.0,93.78
2024-06-14,002594,TAKE_PROFIT,251.48,300,75444.0,57.33
2024-06-14,601318,STOP_LOSS,41.19,900,37071.0,28.18
2024-06-17,000001,EXIT,10.13,14200,143846.0,109.32
2024-06-17,002594,TAKE_PROFIT,252.0,100,25200.0,19.15
2024-06-18,002594,TAKE_PROFIT,255.6,100,25560.0,19.43
2024-06-19,601857,EXIT,9.76,10700,104432.0,79.37
2024-06-25,600585,EXIT,23.13,6200,143406.0,108.98
2024-06-25,002594,BUY,252.0,100,25200.0,6.55
2024-06-25,600036,BUY,34.07,2900,98803.0,25.69
2024-06-26,002594,BUY,252.0,100,25200.0,6.55
2024-06-27,002594,BUY,251.02,200,50204.0,13.05
2024-06-28,002594,BUY,248.0,100,24800.0,6.45
2024-07-01,601857,BUY,10.29,9700,99813.0,25.95
2024-07-03,601318,BUY,42.18,2300,97014.0,25.22
2024-07-04,600585,BUY,24.05,4100,98605.0,25.64
2024-07-05,600585,BUY,23.9,2100,50190.0,13.05
2024-07-08,600036,EXIT,33.85,2900,98165.0,74.6
2024-07-08,601318,EXIT,40.9,2300,94070.0,71.5
2024-07-10,600036,BUY,34.47,2900,99963.0,25.99
2024-07-11,600036,BUY,33.08,1500,49620.0,12.91
2024-07-12,600036,EXIT,33.01,4400,145244.0,110.38
2024-07-12,000725,BUY,4.29,23600,101244.0,26.32
2024-07-15,601857,BUY,10.24,4900,50176.0,13.04
2024-07-15,601318,BUY,42.6,2300,97980.0,25.48
2024-07-16,000725,EXIT,3.98,23600,93928.0,71.38
2024-07-17,600900,TAKE_PROFIT,30.75,2800,86100.0,65.44
2024-07-17,601318,EXIT,41.25,2300,94875.0,72.11
2024-07-17,600030,BUY,18.7,5400,100980.0,26.26
2024-07-18,600900,TAKE_PROFIT,30.75,1400,43050.0,32.72
2024-07-18,601857,EXIT,10.12,14600,147752.0,112.3
2024-07-18,601318,BUY,42.19,2300,97037.0,25.23
2024-07-19,600900,TAKE_PROFIT,30.5,700,21350.0,16.23
2024-07-22,600900,BUY,30.58,1600,48928.0,12.72
2024-07-23,600900,BUY,30.4,1600,48640.0,12.65
2024-07-24,600900,BUY,30.67,900,27603.0,7.18
2024-07-24,600030,BUY,19.07,2400,45768.0,11.9
2024-07-25,600030,BUY,18.84,100,1884.0,5.02
2024-07-29,601318,EXIT,41.08,2300,94484.0,71.8
2024-08-01,600276,BUY,42.19,2300,97037.0,25.23
2024-08-02,603259,BUY,42.18,2300,97014.0,25.22
2024-08-06,002594,EXIT,234.0,600,140400.0,106.7
2024-08-06,600585,EXIT,23.2,6200,143840.0,109.32
2024-08-08,600276,BUY,42.11,1100,46321.0,12.04
2024-08-15,603259,EXIT,39.81,2300,91563.0,69.59
2024-08-26,601318,BUY,43.46,2200,95612.0,24.86
2024-08-29,600030,EXIT,18.5,7900,146150.0,111.08
2024-08-30,600900,EXIT,29.25,4800,140400.0,106.7
2024-09-02,600030,BUY,19.19,5000,95950.0,24.95
2024-09-02,002594,BUY,248.02,300,74406.0,19.34
2024-09-03,601318,BUY,43.61,1100,47971.0,12.47
2024-09-03,600900,BUY,29.65,3200,94880.0,24.67
2024-09-03,000333,BUY,65.01,1400,91014.0,23.66
2024-09-04,600030,BUY,19.05,2500,47625.0,12.39
2024-09-04,300750,BUY,185.32,400,74128.0,19.27
2024-09-05,600900,EXIT,29.16,3200,93312.0,70.92
2024-09-05,601318,BUY,42.63,100,4263.0,5.04
2024-09-06,600030,BUY,19.44,100,1944.0,5.02
2024-09-10,000333,EXIT,60.48,1400,84672.0,64.36
2024-09-12,300750,BUY,188.0,200,37600.0,9.78
2024-09-13,603259,BUY,39.98,2400,95952.0,24.95
2024-09-18,002594,BUY,255.02,100,25502.0,6.64
2024-09-19,002594,BUY,259.01,100,25901.0,6.74
2024-09-19,000333,BUY,62.3,1500,93450.0,24.29
2024-09-20,000333,BUY,64.91,700,45437.0,11.81
2024-09-24,603259,BUY,42.0,1000,42000.0,10.92
2024-09-25,000001,BUY,10.52,200,2104.0,5.02
2024-09-30,601318,TAKE_PROFIT,54.48,1700,92616.0,70.39
2024-09-30,600030,TAKE_PROFIT,27.2,3800,103360.0,78.55
2024-09-30,300750,TAKE_PROFIT,233.02,200,46604.0,35.42
2024-09-30,000333,BUY,73.16,100,7316.0,5.07
2024-09-30,000725,BUY,4.26,26600,113316.0,29.46
2024-10-08,600276,TAKE_PROFIT,57.53,1700,97801.0,74.33
2024-10-08,601318,TAKE_PROFIT,62.8,800,50240.0,38.18
2024-10-08,600030,TAKE_PROFIT,29.92,1900,56848.0,43.2
2024-10-08,002594,TAKE_PROFIT,338.04,200,67608.0,51.38
2024-10-08,300750,TAKE_PROFIT,296.0,200,59200.0,44.99
2024-10-08,603259,TAKE_PROFIT,57.6,1700,97920.0,74.42
2024-10-08,000333,TAKE_PROFIT,83.67,1100,92037.0,69.95
