date,code,action,price,shares,amount,fee
2023-10-26,600900,EXIT,21.85,12300,268755.0,204.26
2023-11-03,600900,BUY,22.76,8100,184356.0,47.93
2023-11-06,600900,BUY,22.74,4100,93234.0,24.24
2023-11-21,600900,BUY,22.62,100,2262.0,5.02
2023-11-21,000725,BUY,3.95,19200,75840.0,19.72
2023-11-22,000725,BUY,3.93,400,1572.0,5.02
2023-11-27,603259,EXIT,83.5,3200,267200.0,203.07
2023-12-01,600519,BUY,1789.31,100,178931.0,46.52
2023-12-04,600519,EXIT,1760.28,100,176028.0,133.78
2023-12-06,600276,EXIT,45.22,6300,284886.0,216.51
2023-12-06,000725,EXIT,3.79,19600,74284.0,56.45
2024-01-09,000333,BUY,54.71,3300,180543.0,46.95
2024-01-10,000333,BUY,55.17,1600,88272.0,22.95
2024-01-16,601857,BUY,7.31,25000,182750.0,47.52
2024-01-17,601857,BUY,7.3,12600,91980.0,23.92
2024-01-18,601857,BUY,7.22,400,2888.0,5.03
2024-01-23,601857,EXIT,7.01,38000,266380.0,202.44
2024-01-25,601857,BUY,7.3,25100,183230.0,47.64
2024-01-29,601857,BUY,8.39,8500,71315.0,18.54
2024-01-30,601857,BUY,8.32,500,4160.0,5.04
2024-01-31,600036,BUY,30.92,2600,80392.0,20.9
2024-02-01,601857,BUY,8.2,100,820.0,5.01
2024-02-02,601857,BUY,8.1,300,2430.0,5.02
2024-02-23,601857,TAKE_PROFIT,9.29,17200,159788.0,121.44
2024-02-23,600036,BUY,32.81,3100,101711.0,26.45
2024-02-23,000001,BUY,10.88,5200,56576.0,14.71
2024-02-26,601857,BUY,9.0,100,900.0,5.01
2024-03-05,601857,TAKE_PROFIT,9.05,8700,78735.0,59.84
2024-03-05,000001,BUY,10.3,7500,77250.0,20.08
2024-03-06,000333,TAKE_PROFIT,64.9,2400,155760.0,118.38
2024-03-06,601857,TAKE_PROFIT,9.03,4300,38829.0,29.51
2024-03-06,000001,BUY,10.4,9900,102960.0,26.77
2024-03-06,600036,BUY,32.14,2800,89992.0,23.4
2024-03-07,601857,BUY,8.95,300,2685.0,5.03
