date,cash,market_value,equity,positions
2024-01-15,630776.73,279812.0,910588.73,2
2024-01-16,540109.16,373634.0,913743.16,3
2024-01-17,494837.4,413792.0,908629.4,3
2024-01-18,492666.38,415835.0,908501.38,3
2024-01-19,492666.38,415382.0,908048.38,3
2024-01-22,492666.38,410087.0,902753.38,3
2024-01-23,625054.7,279462.0,904516.7,2
2024-01-24,625054.7,285126.0,910180.7,2
2024-01-25,534511.16,382744.0,917255.16,3
2024-01-26,534511.16,393030.0,927541.16,3
2024-01-29,318535.02,612245.0,930780.02,5
2024-01-30,316866.0,609728.0,926594.0,5
2024-01-31,273566.75,654349.0,927915.75,5
2024-02-01,267427.69,655054.0,922481.69,5
2024-02-02,264992.67,655181.0,920173.67,5
2024-02-05,264181.66,668737.0,932918.66,5
2024-02-06,264181.66,671129.0,935310.66,5
2024-02-07,32358.8,910622.0,942980.8,7
2024-02-08,1003.65,943480.0,944483.65,8
2024-02-19,1003.65,956334.0,957337.65,8
2024-02-20,1003.65,961150.0,962153.65,8
2024-02-21,1003.65,982615.0,983618.65,8
2024-02-22,1003.65,991382.0,992385.65,8
2024-02-23,970.79,988251.0,989221.79,8
2024-02-26,65.78,970114.0,970179.78,8
2024-02-27,65.78,973998.0,974063.78,8
2024-02-28,65.78,971590.0,971655.78,8
2024-02-29,65.78,975393.0,975458.78,8
2024-03-01,65.78,977389.0,977454.78,8
2024-03-04,65.78,974907.0,974972.78,8
2024-03-05,1063.64,985481.0,986544.64,8
2024-03-06,4147.02,977495.0,981642.02,9
2024-03-07,91.98,987005.0,987096.98,9
2024-03-08,1579.91,981735.0,983314.91,9
2024-03-11,456.36,984748.0,985204.36,9
2024-03-12,456.36,985048.0,985504.36,9
2024-03-13,456.36,972235.0,972691.36,9
2024-03-14,456.36,966888.0,967344.36,9
2024-03-15,456.36,975833.0,976289.36,9
2024-03-18,456.36,974321.0,974777.36,9
2024-03-19,456.36,968565.0,969021.36,9
2024-03-20,456.36,969318.0,969774.36,9
2024-03-21,3602.11,967860.0,971462.11,9
2024-03-22,864.08,957328.0,958192.08,9
2024-03-25,3780.73,956727.0,960507.73,9
2024-03-26,988.7,971572.0,972560.7,9
2024-03-27,69.69,967185.0,967254.69,9
2024-03-28,69.69,971304.0,971373.69,9
2024-03-29,69.69,983406.0,983475.69,9
2024-04-01,69.69,1001226.0,1001295.69,9
2024-04-02,69.69,999785.0,999854.69,9
2024-04-03,69.69,998919.0,998988.69,9
2024-04-08,1914.08,990541.0,992455.08,9
2024-04-09,1914.08,986631.0,988545.08,9
2024-04-10,1914.08,980460.0,982374.08,9
2024-04-11,1914.08,977243.0,979157.08,9
2024-04-12,1914.08,968768.0,970682.08,9
2024-04-15,1914.08,998049.0,999963.08,9
2024-04-16,902.5,996500.0,997402.5,10
2024-04-17,510.07,1006904.0,1007414.07,10
2024-04-18,2555.06,1011366.0,1013921.06,10
2024-04-19,813.85,1003520.0,1004333.85,9
2024-04-22,1015.05,998803.0,999818.05,9
2024-04-23,1015.05,995774.0,996789.05,9
2024-04-24,1015.05,1000040.0,1001055.05,9
2024-04-25,1015.05,1010350.0,1011365.05,9
2024-04-26,1015.05,1022819.0,1023834.05,9
2024-04-29,1015.05,1032791.0,1033806.05,9
2024-04-30,1015.05,1028213.0,1029228.05,9
2024-05-06,1015.05,1049901.0,1050916.05,9
2024-05-07,1015.05,1048620.0,1049635.05,9
2024-05-08,1015.05,1039398.0,1040413.05,9
2024-05-09,1015.05,1046786.0,1047801.05,9
2024-05-10,1015.05,1048837.0,1049852.05,9
2024-05-13,1015.05,1045626.0,1046641.05,9
2024-05-14,1015.05,1038339.0,1039354.05,9
2024-05-15,1015.05,1028475.0,1029490.05,9
2024-05-16,1015.05,1039790.0,1040805.05,9
2024-05-17,1015.05,1052690.0,1053705.05,9
2024-05-20,606.41,1049768.0,1050374.41,9
2024-05-21,606.41,1048503.0,1049109.41,9
2024-05-22,606.41,1045140.0,1045746.41,9
2024-05-23,1551.94,1033368.0,1034919.94,9
2024-05-24,1551.94,1020315.0,1021866.94,9
2024-05-27,1551.94,1027510.0,1029061.94,9
2024-05-28,521.93,1015831.0,1016352.93,9
