date,code,action,price,shares,amount,fee
2024-03-25,601318,EXIT,40.45,3400,137530.0,104.53
2024-03-25,300750,BUY,185.57,200,37114.0,9.65
2024-03-25,600276,BUY,45.95,1000,45950.0,11.95
2024-03-25,601857,BUY,9.04,5200,47008.0,12.22
2024-03-26,600030,STOP_LOSS,19.41,3500,67935.0,51.63
2024-03-26,600276,BUY,46.1,1000,46100.0,11.99
2024-03-26,601857,BUY,9.29,3100,28799.0,7.49
2024-03-29,000725,BUY,4.04,100,404.0,5.0
2024-04-08,600900,EXIT,24.41,6200,151342.0,115.02
2024-04-08,000333,BUY,66.72,700,46704.0,12.15
2024-04-08,000725,BUY,4.36,2200,9592.0,5.1
2024-04-08,000858,BUY,152.0,600,91200.0,23.71
2024-04-09,600900,BUY,25.2,100,2520.0,5.03
2024-04-11,000725,BUY,4.23,300,1269.0,5.01
2024-04-16,601857,TAKE_PROFIT,10.6,7500,79500.0,60.43
2024-04-16,000333,BUY,66.78,700,46746.0,12.16
2024-04-16,600900,BUY,25.81,1200,30972.0,8.05
2024-04-16,000725,BUY,4.3,200,860.0,5.01
2024-04-17,601857,TAKE_PROFIT,10.75,3700,39775.0,30.23
2024-04-17,000725,BUY,4.22,600,2532.0,5.03
2024-04-17,000333,BUY,68.0,300,20400.0,5.3
2024-04-17,600900,BUY,25.85,600,15510.0,5.16
2024-04-18,601857,TAKE_PROFIT,10.72,1900,20368.0,15.47
2024-04-18,000001,BUY,10.58,2100,22218.0,5.77
2024-04-19,601857,TAKE_PROFIT,10.69,900,9621.0,9.91
2024-04-19,600276,EXIT,42.0,3100,130200.0,98.95
2024-04-19,000001,BUY,10.71,800,8568.0,5.09
2024-04-19,600900,BUY,25.9,1900,49210.0,12.79
2024-04-19,002594,BUY,212.19,300,63657.0,16.55
2024-04-22,601857,TAKE_PROFIT,10.8,500,5400.0,7.75
2024-04-22,600900,BUY,25.93,900,23337.0,6.06
2024-05-14,000725,BUY,4.38,100,438.0,5.0
2024-05-20,600036,TAKE_PROFIT,36.85,2300,84755.0,64.42
2024-05-20,000858,BUY,156.4,300,46920.0,12.2
2024-05-20,002594,BUY,218.48,100,21848.0,5.68
2024-05-20,600900,BUY,25.74,600,15444.0,5.15
2024-05-22,000725,BUY,4.37,100,437.0,5.0
2024-05-23,000333,EXIT,65.4,2100,137340.0,104.38
2024-05-23,600036,BUY,35.9,1400,50260.0,13.06
2024-05-23,600900,BUY,26.05,600,15630.0,5.16
2024-05-23,601318,BUY,44.92,1500,67380.0,17.51
2024-05-23,600585,BUY,25.13,100,2513.0,5.03
2024-05-28,601857,BUY,10.25,100,1025.0,5.01
2024-05-29,000725,EXIT,4.1,35400,145140.0,110.31
2024-05-29,601857,BUY,10.46,4700,49162.0,12.78
2024-05-30,002594,BUY,224.42,200,44884.0,11.67
2024-05-30,601857,BUY,10.36,4800,49728.0,12.93
2024-05-31,601857,BUY,10.11,100,1011.0,5.01
2024-06-04,000858,EXIT,145.98,900,131382.0,99.85
2024-06-04,601857,BUY,9.96,4700,46812.0,12.17
2024-06-11,300750,EXIT,189.0,600,113400.0,86.18
2024-06-12,600036,EXIT,33.35,3700,123395.0,93.78
2024-06-14,601318,STOP_LOSS,41.19,1500,61785.0,46.96
2024-06-17,000001,EXIT,10.13,13800,139794.0,106.25
2024-06-18,002594,TAKE_PROFIT,255.6,300,76680.0,58.28
2024-06-19,601857,EXIT,9.76,14900,145424.0,110.52
2024-06-19,002594,BUY,256.0,100,25600.0,6.66
2024-06-20,002594,BUY,252.88,100,25288.0,6.57
2024-06-25,600585,EXIT,23.13,100,2313.0,6.18
2024-06-25,600036,BUY,34.07,2900,98803.0,25.69
2024-07-03,601318,BUY,42.18,2300,97014.0,25.22
2024-07-04,600585,BUY,24.05,4100,98605.0,25.64
2024-07-05,600585,BUY,23.9,2000,47800.0,12.43
2024-07-08,600036,EXIT,33.85,2900,98165.0,74.6
2024-07-08,601318,EXIT,40.9,2300,94070.0,71.5
2024-07-11,600036,BUY,33.08,3000,99240.0,25.8
2024-07-12,600036,EXIT,33.01,3000,99030.0,75.27
2024-07-15,601857,BUY,10.24,9800,100352.0,26.09
2024-07-16,601857,BUY,10.44,4600,48024.0,12.49
2024-07-17,600900,TAKE_PROFIT,30.75,2900,89175.0,67.77
2024-07-18,600900,TAKE_PROFIT,30.75,1500,46125.0,35.05
2024-07-18,601857,EXIT,10.12,14400,145728.0,110.75
2024-07-18,601318,BUY,42.19,2300,97037.0,25.23
2024-07-19,600900,TAKE_PROFIT,30.5,700,21350.0,16.23
2024-07-22,600900,BUY,30.58,1600,48928.0,12.72
2024-07-23,600900,BUY,30.4,1600,48640.0,12.65
2024-07-24,600900,BUY,30.67,800,24536.0,6.38
2024-07-24,600030,BUY,19.07,5200,99164.0,25.78
2024-07-25,600030,BUY,18.84,2600,48984.0,12.74
